arm_box_kind	dataset	key	status	reason	center_x	center_y	center_z	size_x	size_y	size_z	method	pocket_rank	pocket_score	pocket_alpha_spheres	distance_to_crystal_centroid	ligand_fits_in_box	recorded
detected	posebusters	6YMS_OZH	ok		47.014	45.697	-21.547	25.0	25.0	25.0	fpocket_rank1	1	0.257	40	20.929	0	2026-09-22T15:19:43+08:00
ligand_centred	posebusters	6YJA_2BA	ok		1.763	3.417	15.135	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:43+08:00
detected	posebusters	6YJA_2BA	ok		15.05	-11.848	35.02	25.0	25.0	25.0	fpocket_rank1	1	0.154	60	28.372	0	2026-09-22T15:19:43+08:00
ligand_centred	posebusters	6YQW_82I	ok		-0.156	13.573	11.303	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:45+08:00
detected	posebusters	6YQW_82I	ok		0.585	12.909	11.068	25.0	25.0	25.0	fpocket_rank1	1	0.105	73	1.023	1	2026-09-22T15:19:45+08:00
ligand_centred	posebusters	6YQV_8K2	ok		12.188	-11.05	22.298	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:44+08:00
detected	posebusters	6YQV_8K2	ok		2.752	-12.447	30.5	25.0	25.0	25.0	fpocket_rank1	1	0.152	37	12.579	1	2026-09-22T15:19:44+08:00
ligand_centred	posebusters	6XM9_V55	ok		22.094	9.874	34.445	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:43+08:00
detected	posebusters	6XM9_V55	ok		15.798	23.342	41.569	25.0	25.0	25.0	fpocket_rank1	1	0.353	128	16.486	0	2026-09-22T15:19:43+08:00
ligand_centred	posebusters	6YRV_PJ8	ok		23.416	52.629	20.556	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:46+08:00
detected	posebusters	6YRV_PJ8	ok		23.507	51.942	20.078	25.0	25.0	25.0	fpocket_rank1	1	0.606	135	0.842	1	2026-09-22T15:19:46+08:00
ligand_centred	posebusters	6YR2_T1C	ok		38.373	13.166	10.108	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:46+08:00
detected	posebusters	6YR2_T1C	ok		65.007	17.634	12.398	25.0	25.0	25.0	fpocket_rank1	1	0.116	143	27.104	0	2026-09-22T15:19:46+08:00
ligand_centred	posebusters	6YYO_Q1K	ok		13.714	19.724	22.568	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:50+08:00
detected	posebusters	6YYO_Q1K	ok		23.365	-0.563	15.61	25.0	25.0	25.0	fpocket_rank1	1	0.19	50	23.518	0	2026-09-22T15:19:50+08:00
ligand_centred	posebusters	6Z0R_Q4H	ok		34.603	13.784	54.536	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:50+08:00
detected	posebusters	6Z0R_Q4H	ok		25.545	-9.027	66.3	25.0	25.0	25.0	fpocket_rank1	1	0.327	52	27.217	0	2026-09-22T15:19:50+08:00
ligand_centred	posebusters	6YT6_PKE	ok		2.505	6.105	-21.643	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:47+08:00
detected	posebusters	6YT6_PKE	ok		6.207	25.319	0.906	25.0	25.0	25.0	fpocket_rank1	1	0.12	34	29.856	0	2026-09-22T15:19:47+08:00
ligand_centred	posebusters	6Z14_Q4Z	ok		16.59	9.659	11.149	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:52+08:00
detected	posebusters	6Z14_Q4Z	ok		16.622	5.766	7.464	25.0	25.0	25.0	fpocket_rank1	1	0.432	115	5.36	1	2026-09-22T15:19:52+08:00
ligand_centred	posebusters	6YSP_PAL	ok		21.246	29.544	-33.519	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:46+08:00
detected	posebusters	6YSP_PAL	ok		3.901	28.481	-40.352	25.0	25.0	25.0	fpocket_rank1	1	0.192	66	18.673	0	2026-09-22T15:19:46+08:00
ligand_centred	posebusters	6TW5_9M2	ok		4.202	-10.518	89.123	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:40+08:00
detected	posebusters	6TW5_9M2	ok		22.199	23.531	53.329	25.0	25.0	25.0	fpocket_rank1	1	0.62	558	52.578	0	2026-09-22T15:19:40+08:00
ligand_centred	posebusters	6Z1C_7EY	ok		8.293	-4.518	22.297	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:54+08:00
detected	posebusters	6Z1C_7EY	ok		32.508	-13.366	-0.724	25.0	25.0	25.0	fpocket_rank1	1	0.266	80	34.563	0	2026-09-22T15:19:54+08:00
ligand_centred	posebusters	6ZAE_ACV	ok		53.622	78.349	7.904	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:57+08:00
detected	posebusters	6ZAE_ACV	ok		55.455	77.612	9.685	25.0	25.0	25.0	fpocket_rank1	1	0.099	166	2.66	1	2026-09-22T15:19:57+08:00
ligand_centred	posebusters	6ZC3_JOR	ok		-20.217	35.187	4.882	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:58+08:00
detected	posebusters	6ZC3_JOR	ok		-8.391	24.209	12.76	25.0	25.0	25.0	fpocket_rank1	1	0.19	33	17.957	0	2026-09-22T15:19:58+08:00
ligand_centred	posebusters	6ZPB_3D1	ok		-6.229	17.988	-9.18	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:59+08:00
detected	posebusters	6ZPB_3D1	ok		-4.204	23.767	-8.502	25.0	25.0	25.0	fpocket_rank1	1	0.132	212	6.161	1	2026-09-22T15:19:59+08:00
ligand_centred	posebusters	6Z4N_Q7B	ok		22.93	12.537	64.95	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:56+08:00
detected	posebusters	6Z4N_Q7B	ok		29.378	12.733	60.561	25.0	25.0	25.0	fpocket_rank1	1	0.392	43	7.802	1	2026-09-22T15:19:56+08:00
ligand_centred	posebusters	6ZCY_QF8	ok		1.39	0.927	13.687	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:59+08:00
detected	posebusters	6ZCY_QF8	ok		-2.363	29.609	16.727	25.0	25.0	25.0	fpocket_rank1	1	0.276	32	29.086	0	2026-09-22T15:19:59+08:00
ligand_centred	posebusters	6Z2C_Q5E	ok		-19.672	5.854	-11.941	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:54+08:00
detected	posebusters	6Z2C_Q5E	ok		-6.846	6.833	28.958	25.0	25.0	25.0	fpocket_rank1	1	0.115	50	42.874	0	2026-09-22T15:19:54+08:00
ligand_centred	posebusters	7A9E_R4W	ok		20.65	32.141	-8.804	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:00+08:00
detected	posebusters	7A9E_R4W	ok		19.845	28.215	-6.04	25.0	25.0	25.0	fpocket_rank1	1	0.268	119	4.868	1	2026-09-22T15:20:00+08:00
ligand_centred	posebusters	7A1P_QW2	ok		19.825	-25.135	7.844	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:00+08:00
detected	posebusters	7A1P_QW2	ok		19.508	-25.524	4.663	25.0	25.0	25.0	fpocket_rank1	1	0.53	83	3.22	1	2026-09-22T15:20:00+08:00
ligand_centred	posebusters	6ZK5_IMH	ok		-12.611	-9.651	-1.954	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:59+08:00
detected	posebusters	6ZK5_IMH	ok		1.059	0.395	-9.058	25.0	25.0	25.0	fpocket_rank1	1	0.278	78	18.392	0	2026-09-22T15:19:59+08:00
ligand_centred	posebusters	7AFX_R9K	ok		-24.307	0.768	61.87	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:00+08:00
detected	posebusters	7AFX_R9K	ok		-39.296	11.366	95.078	25.0	25.0	25.0	fpocket_rank1	1	0.104	21	37.944	0	2026-09-22T15:20:00+08:00
ligand_centred	posebusters	6XHT_V2V	ok		10.645	-7.429	107.503	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:19:42+08:00
detected	posebusters	6XHT_V2V	ok		13.724	-32.811	21.19	25.0	25.0	25.0	fpocket_rank1	1	0.324	130	90.02	0	2026-09-22T15:19:42+08:00
ligand_centred	posebusters	7AKL_RK5	ok		42.977	5.463	13.376	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:02+08:00
detected	posebusters	7AKL_RK5	ok		21.014	12.125	8.028	25.0	25.0	25.0	fpocket_rank1	1	0.21	55	23.565	0	2026-09-22T15:20:02+08:00
ligand_centred	posebusters	7BCP_GCO	ok		-20.363	4.632	-3.678	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:03+08:00
detected	posebusters	7BCP_GCO	ok		-23.492	-5.852	-16.477	25.0	25.0	25.0	fpocket_rank1	1	0.354	73	16.838	0	2026-09-22T15:20:03+08:00
ligand_centred	posebusters	7AN5_RDH	ok		5.449	-18.646	26.998	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:02+08:00
detected	posebusters	7AN5_RDH	ok		5.374	-18.276	27.068	25.0	25.0	25.0	fpocket_rank1	1	0.214	39	0.384	1	2026-09-22T15:20:02+08:00
ligand_centred	posebusters	7BJJ_TVW	ok		5.613	-3.024	19.029	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:05+08:00
detected	posebusters	7BJJ_TVW	ok		12.173	8.96	-3.458	25.0	25.0	25.0	fpocket_rank1	1	0.235	69	26.311	0	2026-09-22T15:20:05+08:00
ligand_centred	posebusters	7BNH_BEZ	ok		-9.21	2.666	8.903	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:06+08:00
detected	posebusters	7BNH_BEZ	ok		-8.997	2.072	10.312	25.0	25.0	25.0	fpocket_rank1	1	0.314	63	1.544	1	2026-09-22T15:20:06+08:00
ligand_centred	posebusters	7B94_ANP	ok		-30.843	-3.904	16.588	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:03+08:00
detected	posebusters	7B94_ANP	ok		-26.788	5.749	-5.979	25.0	25.0	25.0	fpocket_rank1	1	0.86	149	24.877	0	2026-09-22T15:20:03+08:00
ligand_centred	posebusters	7BMI_U4B	ok		57.954	17.442	14.831	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:06+08:00
detected	posebusters	7BMI_U4B	ok		61.936	31.217	51.286	25.0	25.0	25.0	fpocket_rank1	1	0.466	73	39.174	0	2026-09-22T15:20:06+08:00
ligand_centred	posebusters	7A9H_TPP	ok		1.809	9.853	-18.95	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:00+08:00
detected	posebusters	7A9H_TPP	ok		1.871	9.008	-19.628	25.0	25.0	25.0	fpocket_rank1	1	0.247	82	1.086	1	2026-09-22T15:20:00+08:00
ligand_centred	posebusters	7BTT_F8R	ok		5.141	18.87	7.298	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:07+08:00
detected	posebusters	7BTT_F8R	ok		18.168	38.571	15.442	25.0	25.0	25.0	fpocket_rank1	1	0.325	99	24.984	0	2026-09-22T15:20:07+08:00
ligand_centred	posebusters	7C3U_AZG	ok		32.753	38.576	27.124	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:09+08:00
detected	posebusters	7C3U_AZG	ok		20.701	33.299	45.843	25.0	25.0	25.0	fpocket_rank1	1	0.35	91	22.88	0	2026-09-22T15:20:09+08:00
ligand_centred	posebusters	7BKA_4JC	ok		18.965	52.713	12.854	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:05+08:00
detected	posebusters	7BKA_4JC	ok		20.363	9.914	26.91	25.0	25.0	25.0	fpocket_rank1	1	0.394	74	45.07	0	2026-09-22T15:20:05+08:00
ligand_centred	posebusters	7CD9_FVR	ok		17.485	8.313	13.221	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:10+08:00
detected	posebusters	7CD9_FVR	ok		4.973	18.315	14.924	25.0	25.0	25.0	fpocket_rank1	1	0.1	30	16.109	0	2026-09-22T15:20:10+08:00
ligand_centred	posebusters	7CL8_TES	ok		17.879	-6.196	-23.977	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:12+08:00
detected	posebusters	7CL8_TES	ok		20.294	-5.716	-24.912	25.0	25.0	25.0	fpocket_rank1	1	0.263	120	2.634	1	2026-09-22T15:20:12+08:00
ligand_centred	posebusters	7C8Q_DSG	ok		-45.884	30.457	11.658	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:10+08:00
detected	posebusters	7C8Q_DSG	ok		-27.216	24.41	18.636	25.0	25.0	25.0	fpocket_rank1	1	0.251	42	20.826	0	2026-09-22T15:20:10+08:00
ligand_centred	posebusters	7C0U_FGO	ok		41.828	13.674	54.027	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:09+08:00
detected	posebusters	7C0U_FGO	ok		34.052	15.742	78.639	25.0	25.0	25.0	fpocket_rank1	1	0.109	26	25.894	0	2026-09-22T15:20:09+08:00
ligand_centred	posebusters	7CNS_PMV	ok		1.683	-20.259	-18.881	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:15+08:00
detected	posebusters	7CNS_PMV	ok		3.87	-7.765	-9.94	25.0	25.0	25.0	fpocket_rank1	1	0.351	47	15.519	0	2026-09-22T15:20:15+08:00
ligand_centred	posebusters	7CTM_BDP	ok		-1.362	-6.082	107.601	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:15+08:00
detected	posebusters	7CTM_BDP	ok		9.51	-5.191	100.136	25.0	25.0	25.0	fpocket_rank1	1	1.057	245	13.218	0	2026-09-22T15:20:15+08:00
ligand_centred	posebusters	7CUO_PHB	ok		21.572	14.329	62.51	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:17+08:00
detected	posebusters	7CUO_PHB	ok		21.924	15.097	62.522	25.0	25.0	25.0	fpocket_rank1	1	0.246	44	0.845	1	2026-09-22T15:20:17+08:00
ligand_centred	posebusters	7CIJ_G0C	ok		26.721	-11.345	57.953	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:12+08:00
detected	posebusters	7CIJ_G0C	ok		27.226	14.1	47.597	25.0	25.0	25.0	fpocket_rank1	1	0.599	111	27.476	0	2026-09-22T15:20:12+08:00
ligand_centred	posebusters	7DQL_4CL	ok		-2.259	-9.174	6.37	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:23+08:00
detected	posebusters	7DQL_4CL	ok		15.88	1.262	13.769	25.0	25.0	25.0	fpocket_rank1	1	0.372	131	22.196	0	2026-09-22T15:20:23+08:00
ligand_centred	posebusters	7DKT_GLF	ok		58.238	67.0	60.483	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:21+08:00
detected	posebusters	7DKT_GLF	ok		56.692	69.511	62.417	25.0	25.0	25.0	fpocket_rank1	1	0.339	83	3.527	1	2026-09-22T15:20:21+08:00
ligand_centred	posebusters	7D5C_GV6	ok		9.843	6.327	39.057	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:18+08:00
detected	posebusters	7D5C_GV6	ok		16.537	-7.99	42.066	25.0	25.0	25.0	fpocket_rank1	1	0.729	183	16.089	0	2026-09-22T15:20:18+08:00
ligand_centred	posebusters	7DUA_HJ0	ok		25.195	13.156	-25.513	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:26+08:00
detected	posebusters	7DUA_HJ0	ok		21.335	1.764	-14.528	25.0	25.0	25.0	fpocket_rank1	1	0.192	164	16.29	0	2026-09-22T15:20:26+08:00
ligand_centred	posebusters	7E4L_MDN	ok		-3.652	5.191	-5.315	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:29+08:00
detected	posebusters	7E4L_MDN	ok		-37.883	-22.35	-16.09	25.0	25.0	25.0	fpocket_rank1	1	0.137	49	45.236	0	2026-09-22T15:20:29+08:00
ligand_centred	posebusters	7EBG_J0L	ok		-14.65	10.2	24.224	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:30+08:00
detected	posebusters	7EBG_J0L	ok		12.393	9.019	12.689	25.0	25.0	25.0	fpocket_rank1	1	0.976	244	29.424	0	2026-09-22T15:20:30+08:00
ligand_centred	posebusters	7ED2_A3P	ok		-22.241	-19.733	12.747	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:33+08:00
detected	posebusters	7ED2_A3P	ok		-20.9	-9.178	22.79	25.0	25.0	25.0	fpocket_rank1	1	0.145	31	14.631	0	2026-09-22T15:20:33+08:00
ligand_centred	posebusters	7ELT_TYM	ok		12.718	46.834	13.538	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:35+08:00
detected	posebusters	7ELT_TYM	ok		1.724	22.927	4.086	25.0	25.0	25.0	fpocket_rank1	1	0.03	25	27.961	0	2026-09-22T15:20:35+08:00
ligand_centred	posebusters	7EPV_FDA	ok		5.474	-30.532	-4.519	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:37+08:00
detected	posebusters	7EPV_FDA	ok		2.849	-8.525	-1.643	25.0	25.0	25.0	fpocket_rank1	1	0.104	21	22.349	0	2026-09-22T15:20:37+08:00
ligand_centred	posebusters	7ES1_UDP	ok		12.637	7.16	19.36	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:37+08:00
detected	posebusters	7ES1_UDP	ok		15.577	4.358	23.951	25.0	25.0	25.0	fpocket_rank1	1	0.696	276	6.13	1	2026-09-22T15:20:37+08:00
ligand_centred	posebusters	7B2C_TP7	ok		1.81	1.75	45.652	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:03+08:00
detected	posebusters	7B2C_TP7	ok		-14.859	-14.44	8.308	25.0	25.0	25.0	fpocket_rank1	1	1.234	166	43.984	0	2026-09-22T15:20:03+08:00
ligand_centred	posebusters	7F5D_EUO	ok		7.48	-5.083	29.65	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:40+08:00
detected	posebusters	7F5D_EUO	ok		7.364	-4.616	28.25	25.0	25.0	25.0	fpocket_rank1	1	0.218	71	1.481	1	2026-09-22T15:20:40+08:00
ligand_centred	posebusters	7F51_BA7	ok		-2.288	5.657	9.419	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:39+08:00
detected	posebusters	7F51_BA7	ok		1.712	5.166	4.35	25.0	25.0	25.0	fpocket_rank1	1	0.108	120	6.476	0	2026-09-22T15:20:39+08:00
ligand_centred	posebusters	7FB7_8NF	ok		15.034	21.773	41.355	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:40+08:00
detected	posebusters	7FB7_8NF	ok		34.107	29.102	48.551	25.0	25.0	25.0	fpocket_rank1	1	0.282	85	21.663	0	2026-09-22T15:20:40+08:00
ligand_centred	posebusters	7F8T_FAD	ok		24.933	23.491	99.914	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:40+08:00
detected	posebusters	7F8T_FAD	ok		14.277	32.218	113.615	25.0	25.0	25.0	fpocket_rank1	1	0.224	167	19.428	0	2026-09-22T15:20:40+08:00
ligand_centred	posebusters	7FHA_ADX	ok		-4.043	-0.347	-2.421	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:40+08:00
detected	posebusters	7FHA_ADX	ok		9.75	6.914	6.501	25.0	25.0	25.0	fpocket_rank1	1	0.138	43	17.961	0	2026-09-22T15:20:40+08:00
ligand_centred	posebusters	7JG0_GAR	ok		-31.664	19.825	35.195	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:46+08:00
detected	posebusters	7JG0_GAR	ok		-31.532	18.929	34.713	25.0	25.0	25.0	fpocket_rank1	1	0.385	55	1.026	1	2026-09-22T15:20:46+08:00
ligand_centred	posebusters	7ECR_SIN	ok		-58.561	-27.966	-41.428	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:32+08:00
detected	posebusters	7ECR_SIN	ok		-64.056	-34.797	-46.413	25.0	25.0	25.0	fpocket_rank1	1	0.507	263	10.085	1	2026-09-22T15:20:32+08:00
ligand_centred	posebusters	7JMV_4NC	ok		33.144	-26.928	-8.617	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:47+08:00
detected	posebusters	7JMV_4NC	ok		33.431	-26.577	-8.889	25.0	25.0	25.0	fpocket_rank1	1	0.486	36	0.529	1	2026-09-22T15:20:47+08:00
ligand_centred	posebusters	7JXX_VP7	ok		178.931	19.637	46.214	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:48+08:00
detected	posebusters	7JXX_VP7	ok		165.748	18.67	55.427	25.0	25.0	25.0	fpocket_rank1	1	0.148	21	16.112	0	2026-09-22T15:20:48+08:00
ligand_centred	posebusters	7FT9_4MB	ok		1.097	6.755	-31.534	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:43+08:00
detected	posebusters	7FT9_4MB	ok		-27.431	-10.244	-48.384	25.0	25.0	25.0	fpocket_rank1	1	0.223	109	37.239	0	2026-09-22T15:20:43+08:00
ligand_centred	posebusters	7CNQ_G8X	ok		-0.735	12.938	63.532	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:15+08:00
detected	posebusters	7CNQ_G8X	ok		-21.915	52.294	49.515	25.0	25.0	25.0	fpocket_rank1	1	0.095	62	46.839	0	2026-09-22T15:20:15+08:00
ligand_centred	posebusters	7JY3_VUD	ok		4.736	-22.119	44.042	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:50+08:00
detected	posebusters	7JY3_VUD	ok		13.964	-10.947	29.317	25.0	25.0	25.0	fpocket_rank1	1	0.094	21	20.659	0	2026-09-22T15:20:50+08:00
ligand_centred	posebusters	7JHQ_VAJ	ok		37.676	-39.242	12.94	25.0	25.0	25.0	centroid_of_crystal_ligand				0.0	1	2026-09-22T15:20:47+08:00
