dataset	complex_id	stage	reason	recorded
posebusters	7XIJ_EJ3	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7ZXZ_K9R	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7ZYS_KNR	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7ZZB_KGX	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8ACL_LQL	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8AEU_M0L	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8AIJ_M9I	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8AJX_FUM	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8BN6_R53	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8BPL_CP	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8BRO_R7E	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8C5D_GTB	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8C7Y_TXV	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8CGC_LMR	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8CI0_8EL	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8DW5_FQ7	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8DZT_G4P	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8E77_ULP	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8EAD_UY0	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8ERS_WQO	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8FLN_Y7W	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8FV9_80J	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8G43_ZU6	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8H0M_2EH	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
