dataset	complex_id	pdb_id	ccd_id	protein_pdb	ligand_sdf	ligands_sdf	start_conf_sdf
astex	1N2V_BDI	1N2V	BDI	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1N2V_BDI/1N2V_BDI_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1N2V_BDI/1N2V_BDI_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1N2V_BDI/1N2V_BDI_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1N2V_BDI/1N2V_BDI_ligand_start_conf.sdf
astex	1N46_PFA	1N46	PFA	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1N46_PFA/1N46_PFA_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1N46_PFA/1N46_PFA_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1N46_PFA/1N46_PFA_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1N46_PFA/1N46_PFA_ligand_start_conf.sdf
astex	1NAV_IH5	1NAV	IH5	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1NAV_IH5/1NAV_IH5_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1NAV_IH5/1NAV_IH5_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1NAV_IH5/1NAV_IH5_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1NAV_IH5/1NAV_IH5_ligand_start_conf.sdf
astex	1OF1_SCT	1OF1	SCT	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OF1_SCT/1OF1_SCT_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OF1_SCT/1OF1_SCT_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OF1_SCT/1OF1_SCT_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OF1_SCT/1OF1_SCT_ligand_start_conf.sdf
astex	1OF6_DTY	1OF6	DTY	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OF6_DTY/1OF6_DTY_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OF6_DTY/1OF6_DTY_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OF6_DTY/1OF6_DTY_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OF6_DTY/1OF6_DTY_ligand_start_conf.sdf
astex	1OPK_P16	1OPK	P16	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OPK_P16/1OPK_P16_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OPK_P16/1OPK_P16_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OPK_P16/1OPK_P16_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OPK_P16/1OPK_P16_ligand_start_conf.sdf
astex	1OQ5_CEL	1OQ5	CEL	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OQ5_CEL/1OQ5_CEL_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OQ5_CEL/1OQ5_CEL_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OQ5_CEL/1OQ5_CEL_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OQ5_CEL/1OQ5_CEL_ligand_start_conf.sdf
astex	1OWE_675	1OWE	675	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OWE_675/1OWE_675_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OWE_675/1OWE_675_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OWE_675/1OWE_675_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OWE_675/1OWE_675_ligand_start_conf.sdf
astex	1OYT_FSN	1OYT	FSN	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OYT_FSN/1OYT_FSN_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OYT_FSN/1OYT_FSN_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OYT_FSN/1OYT_FSN_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1OYT_FSN/1OYT_FSN_ligand_start_conf.sdf
astex	1P2Y_NCT	1P2Y	NCT	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1P2Y_NCT/1P2Y_NCT_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1P2Y_NCT/1P2Y_NCT_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1P2Y_NCT/1P2Y_NCT_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1P2Y_NCT/1P2Y_NCT_ligand_start_conf.sdf
astex	1P62_GEO	1P62	GEO	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1P62_GEO/1P62_GEO_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1P62_GEO/1P62_GEO_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1P62_GEO/1P62_GEO_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1P62_GEO/1P62_GEO_ligand_start_conf.sdf
astex	1PMN_984	1PMN	984	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1PMN_984/1PMN_984_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1PMN_984/1PMN_984_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1PMN_984/1PMN_984_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1PMN_984/1PMN_984_ligand_start_conf.sdf
astex	1Q1G_MTI	1Q1G	MTI	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1Q1G_MTI/1Q1G_MTI_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1Q1G_MTI/1Q1G_MTI_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1Q1G_MTI/1Q1G_MTI_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1Q1G_MTI/1Q1G_MTI_ligand_start_conf.sdf
astex	1Q41_IXM	1Q41	IXM	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1Q41_IXM/1Q41_IXM_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1Q41_IXM/1Q41_IXM_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1Q41_IXM/1Q41_IXM_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1Q41_IXM/1Q41_IXM_ligand_start_conf.sdf
astex	1Q4G_BFL	1Q4G	BFL	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1Q4G_BFL/1Q4G_BFL_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1Q4G_BFL/1Q4G_BFL_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1Q4G_BFL/1Q4G_BFL_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1Q4G_BFL/1Q4G_BFL_ligand_start_conf.sdf
astex	1R1H_BIR	1R1H	BIR	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1R1H_BIR/1R1H_BIR_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1R1H_BIR/1R1H_BIR_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1R1H_BIR/1R1H_BIR_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1R1H_BIR/1R1H_BIR_ligand_start_conf.sdf
astex	1R55_097	1R55	097	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1R55_097/1R55_097_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1R55_097/1R55_097_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1R55_097/1R55_097_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1R55_097/1R55_097_ligand_start_conf.sdf
astex	1R58_AO5	1R58	AO5	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1R58_AO5/1R58_AO5_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1R58_AO5/1R58_AO5_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1R58_AO5/1R58_AO5_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1R58_AO5/1R58_AO5_ligand_start_conf.sdf
astex	1R9O_FLP	1R9O	FLP	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1R9O_FLP/1R9O_FLP_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1R9O_FLP/1R9O_FLP_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1R9O_FLP/1R9O_FLP_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1R9O_FLP/1R9O_FLP_ligand_start_conf.sdf
astex	1S19_MC9	1S19	MC9	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1S19_MC9/1S19_MC9_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1S19_MC9/1S19_MC9_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1S19_MC9/1S19_MC9_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1S19_MC9/1S19_MC9_ligand_start_conf.sdf
astex	1S3V_TQD	1S3V	TQD	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1S3V_TQD/1S3V_TQD_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1S3V_TQD/1S3V_TQD_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1S3V_TQD/1S3V_TQD_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1S3V_TQD/1S3V_TQD_ligand_start_conf.sdf
astex	1SG0_STL	1SG0	STL	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1SG0_STL/1SG0_STL_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1SG0_STL/1SG0_STL_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1SG0_STL/1SG0_STL_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1SG0_STL/1SG0_STL_ligand_start_conf.sdf
astex	1SJ0_E4D	1SJ0	E4D	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1SJ0_E4D/1SJ0_E4D_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1SJ0_E4D/1SJ0_E4D_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1SJ0_E4D/1SJ0_E4D_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1SJ0_E4D/1SJ0_E4D_ligand_start_conf.sdf
astex	1SQ5_PAU	1SQ5	PAU	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1SQ5_PAU/1SQ5_PAU_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1SQ5_PAU/1SQ5_PAU_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1SQ5_PAU/1SQ5_PAU_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1SQ5_PAU/1SQ5_PAU_ligand_start_conf.sdf
astex	1SQN_NDR	1SQN	NDR	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1SQN_NDR/1SQN_NDR_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1SQN_NDR/1SQN_NDR_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1SQN_NDR/1SQN_NDR_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1SQN_NDR/1SQN_NDR_ligand_start_conf.sdf
astex	1T40_ID5	1T40	ID5	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1T40_ID5/1T40_ID5_protein.pdb	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1T40_ID5/1T40_ID5_ligand.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1T40_ID5/1T40_ID5_ligands.sdf	/home/qasim/vgb_bench_data/benchmarks/astex_diverse_set/1T40_ID5/1T40_ID5_ligand_start_conf.sdf
