dataset	key	stage	reason	recorded
posebusters	7XIJ_EJ3	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7ZXZ_K9R	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7ZYS_KNR	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7ZZB_KGX	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8ACL_LQL	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8AEU_M0L	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8AIJ_M9I	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8AJX_FUM	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8BN6_R53	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8BPL_CP	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8BRO_R7E	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8C5D_GTB	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8C7Y_TXV	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8CGC_LMR	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8CI0_8EL	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8DW5_FQ7	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8DZT_G4P	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8E77_ULP	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8EAD_UY0	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8ERS_WQO	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8FLN_Y7W	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8FV9_80J	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8G43_ZU6	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	8H0M_2EH	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
crossdock	6M73_FNR	03_build_crossdock_set	no partner survived filtering (same_ligand_only=1)	2026-09-22
crossdock	6XBO_5MC	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	6XHT_V2V	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=2, same_ligand_only=1)	2026-09-22
crossdock	6Z2C_Q5E	03_build_crossdock_set	no partner survived filtering (below_identity_cutoff=39)	2026-09-22
crossdock	6ZK5_IMH	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1)	2026-09-22
crossdock	7C0U_FGO	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1, same_ligand_only=16)	2026-09-22
crossdock	7C8Q_DSG	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=19)	2026-09-22
crossdock	7CNQ_G8X	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=2)	2026-09-22
crossdock	7CNS_PMV	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7CUO_PHB	03_build_crossdock_set	no UniProt cross-reference on any polymer entity, so same-protein cannot be established	2026-09-22
crossdock	7D6O_MTE	03_build_crossdock_set	query entry not returned by the RCSB Data API; probably obsoleted since the benchmark was built	2026-09-22
crossdock	7FB7_8NF	03_build_crossdock_set	no partner survived filtering (below_identity_cutoff=29)	2026-09-22
crossdock	7JMV_4NC	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1)	2026-09-22
crossdock	7KB1_WBJ	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1)	2026-09-22
crossdock	7KQU_YOF	03_build_crossdock_set	no UniProt cross-reference on any polymer entity, so same-protein cannot be established	2026-09-22
crossdock	7KZ9_XN7	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1)	2026-09-22
crossdock	7L00_XCJ	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7LJN_GTP	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7LMO_NYO	03_build_crossdock_set	no UniProt cross-reference on any polymer entity, so same-protein cannot be established	2026-09-22
crossdock	7LOE_Y84	03_build_crossdock_set	no partner survived filtering (below_identity_cutoff=144, no_ligand_of_interest=56)	2026-09-22
crossdock	7M3H_YPV	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1)	2026-09-22
crossdock	7MY1_IPE	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1, same_ligand_only=1)	2026-09-22
crossdock	7N4W_P4V	03_build_crossdock_set	no partner survived filtering (below_identity_cutoff=7)	2026-09-22
crossdock	7N7H_CTP	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7NFB_GEN	03_build_crossdock_set	no partner survived filtering (below_identity_cutoff=283)	2026-09-22
crossdock	7NUT_GLP	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1)	2026-09-22
crossdock	7ODY_DGI	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7OLI_8HG	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=6)	2026-09-22
crossdock	7OSO_0V1	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=2)	2026-09-22
crossdock	7OZ9_NGK	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7OZC_G6S	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7PGX_FMN	03_build_crossdock_set	no partner survived filtering (below_identity_cutoff=5, no_ligand_of_interest=1, same_ligand_only=7)	2026-09-22
crossdock	7PK0_BYC	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=2)	2026-09-22
crossdock	7QE4_NGA	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1, same_ligand_only=1)	2026-09-22
crossdock	7QF4_RBF	03_build_crossdock_set	no UniProt cross-reference on any polymer entity, so same-protein cannot be established	2026-09-22
crossdock	7RC3_SAH	03_build_crossdock_set	no partner survived filtering (same_ligand_only=4)	2026-09-22
crossdock	7RWS_4UR	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7T3E_SLB	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7TB0_UD1	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7TE8_P0T	03_build_crossdock_set	no UniProt cross-reference on any polymer entity, so same-protein cannot be established	2026-09-22
crossdock	7TUO_KL9	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=3)	2026-09-22
crossdock	7TXK_LW8	03_build_crossdock_set	no partner survived filtering (same_ligand_only=5)	2026-09-22
crossdock	7UXS_OJC	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7UY4_SMI	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7V3N_AKG	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	7W05_GMP	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1, same_ligand_only=1)	2026-09-22
crossdock	7W06_ITN	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1)	2026-09-22
crossdock	7WCF_ACP	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=4)	2026-09-22
crossdock	7WKL_CAQ	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=5)	2026-09-22
crossdock	7WUX_6OI	03_build_crossdock_set	no partner survived filtering (no_ligand_of_interest=1)	2026-09-22
crossdock	7ZCC_OGA	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	8A1H_DLZ	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	8FO5_Y4U	03_build_crossdock_set	no UniProt cross-reference on any polymer entity, so same-protein cannot be established	2026-09-22
crossdock	8G6P_API	03_build_crossdock_set	no other X-ray entry at 2.5 A or better shares a UniProt accession with this one	2026-09-22
crossdock	8SLG_G5A	03_build_crossdock_set	no partner survived filtering (same_ligand_only=1)	2026-09-22
crossdock	6TW5_9M2__into__4C68	04_prepare/crossdock_align	C-alpha RMSD 21.127 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	6YRV_PJ8__into__6YS1	04_prepare/crossdock_align	"mmCIF parse failed: PDBIOException(""Chain id ('AAA') exceeds PDB format limit."")"	2026-09-22
crossdock	6YSP_PAL__into__6YPO	04_prepare/crossdock_align	C-alpha RMSD 22.238 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	6Z1C_7EY__into__9TFX	04_prepare/crossdock_align	"mmCIF parse failed: PDBIOException(""Chain id ('AAAA') exceeds PDB format limit."")"	2026-09-22
crossdock	6Z4N_Q7B__into__1FCJ	04_prepare/crossdock_align	C-alpha RMSD 25.252 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	6ZC3_JOR__into__6ZBQ	04_prepare/crossdock_align	C-alpha RMSD 14.352 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7BKA_4JC__into__8B72	04_prepare/crossdock_align	C-alpha RMSD 34.467 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7E4L_MDN__into__5YSQ	04_prepare/crossdock_align	C-alpha RMSD 16.279 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7FHA_ADX__into__8I1O	04_prepare/crossdock_align	C-alpha RMSD 20.454 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7FT9_4MB__into__9V90	04_prepare/crossdock_align	C-alpha RMSD 10.959 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7JHQ_VAJ__into__9U9T	04_prepare/crossdock_align	C-alpha RMSD 33.6 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7JY3_VUD__into__2W72	04_prepare/crossdock_align	C-alpha RMSD 3.615 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7K0V_VQP__into__8C7Y	04_prepare/crossdock_align	C-alpha RMSD 24.922 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7KRU_ATP__into__13JG	04_prepare/crossdock_align	C-alpha RMSD 3.264 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7LOU_IFM__into__10OH	04_prepare/crossdock_align	"superposition raised: ValueError(""invalid literal for int() with base 10: 'A'"")"	2026-09-22
crossdock	7M6K_YRJ__into__7LCZ	04_prepare/crossdock_align	C-alpha RMSD 20.276 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7M31_TDR__into__1GTE	04_prepare/crossdock_align	C-alpha RMSD 38.654 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7MFP_Z7P__into__7MFO	04_prepare/crossdock_align	C-alpha RMSD 35.284 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7MWN_WI5__into__9TB8	04_prepare/crossdock_align	C-alpha RMSD 23.254 A after superposition exceeds the 3.0 A limit	2026-09-22
crossdock	7NPL_UKZ__into__7AEL	04_prepare/crossdock_align	"mmCIF parse failed: PDBIOException(""Chain id ('AAA') exceeds PDB format limit."")"	2026-09-22
crossdock	7NSW_HC4__into__7NRR	04_prepare/crossdock_align	"mmCIF parse failed: PDBIOException(""Chain id ('AAA') exceeds PDB format limit."")"	2026-09-22
crossdock	7OMX_CNA__into__7OMW	04_prepare/crossdock_align	"mmCIF parse failed: PDBIOException(""Chain id ('AAA') exceeds PDB format limit."")"	2026-09-22
