dataset	complex_id	conformer	status	reason	smiles	heavy_atoms	rotatable_bonds	seed	embed_attempts	conformer_rmsd_to_crystal	pdbqt_bytes	elapsed_s	recorded
posebusters	6XG5_TOP	genconf	ok		COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC	21	5	20260922	1	1.068	2484	0.07	2026-09-22T15:00:39+08:00
posebusters	6XBO_5MC	genconf	ok		Cc1cn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)nc1N	22	4	20260922	1	1.955	2802	0.11	2026-09-22T15:00:39+08:00
posebusters	6XM9_V55	genconf	ok		COc1cc(C=O)ccc1O	11	2	20260922	1	0.513	1201	0.02	2026-09-22T15:00:39+08:00
posebusters	6YJA_2BA	refconf	ok		Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@@](=O)(O)O[C@H]3[C@@H](O)[C@H](n4cnc5c(N)ncnc54)O[C@@H]3CO[P@](=O)(O)O[C@H]2[C@H]1O	44	2				5471	0.02	2026-09-22T15:00:39+08:00
posebusters	6YMS_OZH	refconf	ok		CC(C)C[C@H](NC(=O)CN[P@@](=O)(O)[C@@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O	35	13				4148	0.01	2026-09-22T15:00:39+08:00
posebusters	6YQV_8K2	refconf	ok		NS(=O)(=O)c1ccc(Cl)s1	10	1				1171	0.01	2026-09-22T15:00:39+08:00
posebusters	6YQV_8K2	genconf	ok		NS(=O)(=O)c1ccc(Cl)s1	10	1	20260922	1	1.117	1171	0.01	2026-09-22T15:00:39+08:00
posebusters	6YQW_82I	refconf	ok		CNc1cnn(C)c(=O)c1Cl	11	1				1137	0.01	2026-09-22T15:00:39+08:00
posebusters	6YQW_82I	genconf	ok		CNc1cnn(C)c(=O)c1Cl	11	1	20260922	1	0.052	1137	0.02	2026-09-22T15:00:39+08:00
posebusters	6YR2_T1C	refconf	ok		C[NH+](C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H]([NH+](C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O	42	6				5050	0.02	2026-09-22T15:00:39+08:00
posebusters	6XHT_V2V	genconf	ok		Nc1ccn([C@@H]2O[C@H](CO[P@](=O)(O)O[P@@](=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)CO)[C@@H](O)[C@H]2O)c(=O)n1	34	12	20260922	1	3.154	4654	0.31	2026-09-22T15:00:39+08:00
posebusters	6YRV_PJ8	refconf	ok		CCCCCCCCCCCCCCCCC	17	14				2014	0.03	2026-09-22T15:00:39+08:00
posebusters	6XCT_478	genconf	ok		CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1	35	11	20260922	1	2.721	3997	0.38	2026-09-22T15:00:39+08:00
posebusters	6YSP_PAL	refconf	ok		O=C(O)C[C@H](NC(=O)CP(=O)(O)O)C(=O)O	16	6				2243	0.01	2026-09-22T15:00:39+08:00
posebusters	6YSP_PAL	genconf	ok		O=C(O)C[C@H](NC(=O)CP(=O)(O)O)C(=O)O	16	6	20260922	1	1.143	2243	0.05	2026-09-22T15:00:39+08:00
posebusters	6YT6_PKE	refconf	ok		CN(c1ncccc1CNc1ccnc(Nc2ccc3c(c2)CC(=O)N3)n1)S(C)(=O)=O	31	7				3299	0.02	2026-09-22T15:00:39+08:00
posebusters	6VTA_AKN	genconf	ok		NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O	40	10	20260922	1	2.538	5886	0.6	2026-09-22T15:00:39+08:00
posebusters	6YYO_Q1K	refconf	ok		CS(=O)(=O)N1CCN(c2ccc3nncn3n2)CC1	19	2				1805	0.01	2026-09-22T15:00:39+08:00
posebusters	6YRV_PJ8	genconf	ok		CCCCCCCCCCCCCCCCC	17	14	20260922	1	1.917	2014	0.13	2026-09-22T15:00:39+08:00
posebusters	6Z0R_Q4H	refconf	ok		N#Cc1cncnc1N	9	0				1043	0.01	2026-09-22T15:00:39+08:00
posebusters	6Z0R_Q4H	genconf	ok		N#Cc1cncnc1N	9	0	20260922	1	0.04	1043	0.01	2026-09-22T15:00:39+08:00
posebusters	6YMS_OZH	genconf	ok		CC(C)C[C@H](NC(=O)CN[P@@](=O)(O)[C@@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O	35	13	20260922	1	2.717	4148	0.42	2026-09-22T15:00:39+08:00
posebusters	6Z14_Q4Z	refconf	ok		CC1=[NH+][C@H]2[C@@H](O1)O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@@H]2O	18	3				2107	0.01	2026-09-22T15:00:39+08:00
posebusters	6Z1C_7EY	refconf	ok		Cc1ccc(-c2csc3ncnc(SCCC(=O)O)c23)cc1	22	5				2284	0.01	2026-09-22T15:00:39+08:00
posebusters	6YYO_Q1K	genconf	ok		CS(=O)(=O)N1CCN(c2ccc3nncn3n2)CC1	19	2	20260922	1	0.931	1772	0.06	2026-09-22T15:00:39+08:00
posebusters	6YJA_2BA	genconf	ok		Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@@](=O)(O)O[C@H]3[C@@H](O)[C@H](n4cnc5c(N)ncnc54)O[C@@H]3CO[P@](=O)(O)O[C@H]2[C@H]1O	44	2	20260922	1	3.119	5471	0.46	2026-09-22T15:00:39+08:00
posebusters	6Z2C_Q5E	refconf	ok		O=C(O)CCCCCN1C(=O)[C@@H]2[C@H](C1=O)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl	26	6				2716	0.01	2026-09-22T15:00:39+08:00
posebusters	6Z4N_Q7B	refconf	ok		Cc1ccc(C[C@@]2(C(=O)O)C[C@H]2c2ccccc2)cc1	20	4				2084	0.01	2026-09-22T15:00:39+08:00
posebusters	6YT6_PKE	genconf	ok		CN(c1ncccc1CNc1ccnc(Nc2ccc3c(c2)CC(=O)N3)n1)S(C)(=O)=O	31	7	20260922	1	2.91	3299	0.12	2026-09-22T15:00:39+08:00
posebusters	6Z14_Q4Z	genconf	ok		CC1=[NH+][C@H]2[C@@H](O1)O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@@H]2O	18	3	20260922	1	1.388	2107	0.05	2026-09-22T15:00:39+08:00
posebusters	6ZAE_ACV	refconf	ok		CC(C)[C@@H](NC(=O)[C@H](CS)NC(=O)CCC[C@H](N)C(=O)O)C(=O)O	24	11				3308	0.01	2026-09-22T15:00:39+08:00
posebusters	6ZC3_JOR	refconf	ok		CS(=O)(=O)Nc1ccc(F)cc1C(=O)O	15	3				1693	0.01	2026-09-22T15:00:39+08:00
posebusters	6Z1C_7EY	genconf	ok		Cc1ccc(-c2csc3ncnc(SCCC(=O)O)c23)cc1	22	5	20260922	1	0.909	2284	0.06	2026-09-22T15:00:39+08:00
posebusters	6ZCY_QF8	refconf	ok		CNC(=O)c1nn(C)c2ccc(Nc3nccc(-n4cc(N[C@@H]5CCNC5)c(C)n4)n3)cc12	33	6				3549	0.01	2026-09-22T15:00:39+08:00
posebusters	6ZC3_JOR	genconf	ok		CS(=O)(=O)Nc1ccc(F)cc1C(=O)O	15	3	20260922	1	1.299	1693	0.04	2026-09-22T15:00:39+08:00
posebusters	6Z2C_Q5E	genconf	ok		O=C(O)CCCCCN1C(=O)[C@@H]2[C@H](C1=O)[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl	26	6	20260922	1	1.525	2716	0.09	2026-09-22T15:00:39+08:00
posebusters	6ZK5_IMH	refconf	ok		OC[C@H]1N[C@@H](c2c[nH]c3c(O)ncnc23)[C@H](O)[C@@H]1O	19	2				2469	0.01	2026-09-22T15:00:39+08:00
posebusters	6Z4N_Q7B	genconf	ok		Cc1ccc(C[C@@]2(C(=O)O)C[C@H]2c2ccccc2)cc1	20	4	20260922	1	1.343	2084	0.08	2026-09-22T15:00:39+08:00
posebusters	6ZPB_3D1	refconf	ok		Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1	18	2				2168	0.01	2026-09-22T15:00:39+08:00
posebusters	7A1P_QW2	refconf	ok		CCC[C@@H](CC(=O)C(=O)O)C(=O)O	13	6				1637	0.01	2026-09-22T15:00:39+08:00
posebusters	7A1P_QW2	genconf	ok		CCC[C@@H](CC(=O)C(=O)O)C(=O)O	13	6	20260922	1	1.405	1637	0.03	2026-09-22T15:00:39+08:00
posebusters	7A9E_R4W	refconf	ok		CCS(C)(=O)=O	6	1				621	0.0	2026-09-22T15:00:39+08:00
posebusters	6ZPB_3D1	genconf	ok		Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1	18	2	20260922	1	0.954	2168	0.05	2026-09-22T15:00:39+08:00
posebusters	7A9H_TPP	refconf	ok		Cc1ncc(C[n+]2csc(CCO[P@](=O)(O)OP(=O)(O)O)c2C)c(N)n1	26	8				3205	0.01	2026-09-22T15:00:39+08:00
posebusters	6ZK5_IMH	genconf	ok		OC[C@H]1N[C@@H](c2c[nH]c3c(O)ncnc23)[C@H](O)[C@@H]1O	19	2	20260922	1	1.798	2469	0.06	2026-09-22T15:00:39+08:00
posebusters	7A9E_R4W	genconf	ok		CCS(C)(=O)=O	6	1	20260922	1	0.709	621	0.01	2026-09-22T15:00:39+08:00
posebusters	7AFX_R9K	refconf	ok		Cc1cccc2c(-c3ccccc3Cl)c(C(=O)O)[nH]c12	20	2				2101	0.01	2026-09-22T15:00:39+08:00
posebusters	7AKL_RK5	refconf	ok		Cc1oc2ccc(-c3cc(N)nc(N)c3)cc2c1C	19	1				2181	0.01	2026-09-22T15:00:39+08:00
posebusters	6ZAE_ACV	genconf	ok		CC(C)[C@@H](NC(=O)[C@H](CS)NC(=O)CCC[C@H](N)C(=O)O)C(=O)O	24	11	20260922	1	2.728	3308	0.16	2026-09-22T15:00:39+08:00
posebusters	6YR2_T1C	genconf	ok		C[NH+](C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H]([NH+](C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O	42	6	20260922	1	1.015	5050	0.56	2026-09-22T15:00:39+08:00
posebusters	7AN5_RDH	refconf	ok		C=C(Oc1cccc(C(=O)O)c1)C(=O)O	15	4				1760	0.01	2026-09-22T15:00:39+08:00
posebusters	7B2C_TP7	refconf	ok		C[C@@H](OP(=O)(O)O)[C@H](NC(=O)CCCCCCS)C(=O)O	21	11				2846	0.01	2026-09-22T15:00:39+08:00
posebusters	7AFX_R9K	genconf	ok		Cc1cccc2c(-c3ccccc3Cl)c(C(=O)O)[nH]c12	20	2	20260922	1	1.593	2101	0.05	2026-09-22T15:00:39+08:00
posebusters	7AN5_RDH	genconf	ok		C=C(Oc1cccc(C(=O)O)c1)C(=O)O	15	4	20260922	1	1.445	1760	0.03	2026-09-22T15:00:39+08:00
posebusters	7B94_ANP	refconf	ok		Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@](=O)(O)NP(=O)(O)O)[C@@H](O)[C@H]1O	31	8				4105	0.01	2026-09-22T15:00:39+08:00
posebusters	7BCP_GCO	refconf	ok		O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	13	5				2107	0.01	2026-09-22T15:00:39+08:00
posebusters	7AKL_RK5	genconf	ok		Cc1oc2ccc(-c3cc(N)nc(N)c3)cc2c1C	19	1	20260922	1	0.526	2181	0.07	2026-09-22T15:00:39+08:00
posebusters	7BJJ_TVW	refconf	ok		Nc1ncnc2n[nH]cc12	10	0				1219	0.01	2026-09-22T15:00:39+08:00
posebusters	7BCP_GCO	genconf	ok		O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	13	5	20260922	1	1.377	2107	0.03	2026-09-22T15:00:39+08:00
posebusters	7BKA_4JC	refconf	ok		CCc1ccc(S(N)(=O)=O)cc1	12	2				1377	0.01	2026-09-22T15:00:40+08:00
posebusters	7BJJ_TVW	genconf	ok		Nc1ncnc2n[nH]cc12	10	0	20260922	1	0.086	1219	0.02	2026-09-22T15:00:40+08:00
posebusters	7BMI_U4B	refconf	ok		O=C(O)c1ccnc(C(=O)O)c1F	13	2				1498	0.0	2026-09-22T15:00:40+08:00
posebusters	7BKA_4JC	genconf	ok		CCc1ccc(S(N)(=O)=O)cc1	12	2	20260922	1	0.764	1377	0.03	2026-09-22T15:00:40+08:00
posebusters	7B2C_TP7	genconf	ok		C[C@@H](OP(=O)(O)O)[C@H](NC(=O)CCCCCCS)C(=O)O	21	11	20260922	1	1.966	2846	0.09	2026-09-22T15:00:39+08:00
posebusters	7BMI_U4B	genconf	ok		O=C(O)c1ccnc(C(=O)O)c1F	13	2	20260922	1	0.391	1498	0.02	2026-09-22T15:00:40+08:00
posebusters	7BNH_BEZ	refconf	ok		O=C(O)c1ccccc1	9	1				993	0.01	2026-09-22T15:00:40+08:00
posebusters	7BTT_F8R	refconf	ok		COc1cc2c(cc1Nc1nc(Nc3ccccc3S(=O)(=O)C(C)C)c3[nH]ccc3n1)N(C(=O)CN(C)C)CC2	40	9				4208	0.01	2026-09-22T15:00:40+08:00
posebusters	7BNH_BEZ	genconf	ok		O=C(O)c1ccccc1	9	1	20260922	1	0.063	993	0.01	2026-09-22T15:00:40+08:00
posebusters	7C0U_FGO	refconf	ok		Nc1nc2c(ncn2[C@@H]2O[C@H](CO[P@](=O)(O)O[C@H]3[C@@H](O)[C@H](n4ccc(=O)[nH]c4=O)O[C@@H]3CO)[C@H]3CC(O)(O)C[C@H]32)c(=O)[nH]1	43	8				5182	0.01	2026-09-22T15:00:40+08:00
posebusters	7C3U_AZG	refconf	ok		Nc1nc(O)c2[nH]nnc2n1	11	0				1426	0.0	2026-09-22T15:00:40+08:00
posebusters	6ZCY_QF8	genconf	ok		CNC(=O)c1nn(C)c2ccc(Nc3nccc(-n4cc(N[C@@H]5CCNC5)c(C)n4)n3)cc12	33	6	20260922	1	3.757	3531	0.26	2026-09-22T15:00:39+08:00
posebusters	7C8Q_DSG	refconf	ok		NC(=O)C[C@@H](N)C(=O)O	9	3				1440	0.01	2026-09-22T15:00:40+08:00
posebusters	7C3U_AZG	genconf	ok		Nc1nc(O)c2[nH]nnc2n1	11	0	20260922	1	0.047	1426	0.01	2026-09-22T15:00:40+08:00
posebusters	7A9H_TPP	genconf	ok		Cc1ncc(C[n+]2csc(CCO[P@](=O)(O)OP(=O)(O)O)c2C)c(N)n1	26	8	20260922	1	2.78	3205	0.19	2026-09-22T15:00:39+08:00
posebusters	7CD9_FVR	refconf	ok		CN1C[C@H](Nc2nc3cc[nH]c3c(=O)n2C)C[C@H](c2ccc(OCc3ccccc3)cc2)C1	33	6				3378	0.01	2026-09-22T15:00:40+08:00
posebusters	7C8Q_DSG	genconf	ok		NC(=O)C[C@@H](N)C(=O)O	9	3	20260922	1	1.261	1440	0.02	2026-09-22T15:00:40+08:00
posebusters	7CIJ_G0C	refconf	ok		CSCCC/N=C/c1c(COP(=O)(O)O)cnc(C)c1O	21	8				2535	0.01	2026-09-22T15:00:40+08:00
posebusters	7CL8_TES	refconf	ok		C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O	21	0				2058	0.01	2026-09-22T15:00:40+08:00
posebusters	7B94_ANP	genconf	ok		Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@](=O)(O)NP(=O)(O)O)[C@@H](O)[C@H]1O	31	8	20260922	1	2.332	4105	0.19	2026-09-22T15:00:39+08:00
posebusters	7CNQ_G8X	refconf	ok		O=C(O)[C@H]1NCC[C@H]1O	9	1				1204	0.01	2026-09-22T15:00:40+08:00
posebusters	7CIJ_G0C	genconf	ok		CSCCC/N=C/c1c(COP(=O)(O)O)cnc(C)c1O	21	8	20260922	1	1.363	2535	0.06	2026-09-22T15:00:40+08:00
posebusters	7CNS_PMV	refconf	ok		C[C@@](O)(CCOP(=O)(O)O)CC(=O)O	14	6				1979	0.01	2026-09-22T15:00:40+08:00
posebusters	7CNQ_G8X	genconf	ok		O=C(O)[C@H]1NCC[C@H]1O	9	1	20260922	1	0.342	1204	0.01	2026-09-22T15:00:40+08:00
posebusters	7CTM_BDP	refconf	ok		O=C(O)[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O	13	1				1844	0.01	2026-09-22T15:00:40+08:00
posebusters	7CTM_BDP	genconf	ok		O=C(O)[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O	13	1	20260922	1	0.414	1844	0.02	2026-09-22T15:00:40+08:00
posebusters	7CNS_PMV	genconf	ok		C[C@@](O)(CCOP(=O)(O)O)CC(=O)O	14	6	20260922	1	0.881	1979	0.03	2026-09-22T15:00:40+08:00
posebusters	7CUO_PHB	refconf	ok		O=C(O)c1ccc(O)cc1	10	1				1200	0.01	2026-09-22T15:00:40+08:00
posebusters	7D5C_GV6	refconf	ok		CC[C@H](C)[C@H](N)C(=O)O[P@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	31	8				3903	0.01	2026-09-22T15:00:40+08:00
posebusters	7CUO_PHB	genconf	ok		O=C(O)c1ccc(O)cc1	10	1	20260922	1	0.144	1200	0.01	2026-09-22T15:00:40+08:00
posebusters	7D6O_MTE	refconf	ok		Nc1nc2c(c(=O)[nH]1)N[C@H]1C(S)=C(S)[C@@H](COP(=O)(O)O)O[C@H]1N2	24	3				3251	0.01	2026-09-22T15:00:40+08:00
posebusters	7D6O_MTE	genconf	ok		Nc1nc2c(c(=O)[nH]1)N[C@H]1C(S)=C(S)[C@@H](COP(=O)(O)O)O[C@H]1N2	24	3	20260922	1	1.436	3218	0.09	2026-09-22T15:00:40+08:00
posebusters	7DKT_GLF	refconf	ok		OC[C@H]1O[C@H](F)[C@H](O)[C@@H](O)[C@@H]1O	12	1				1635	0.02	2026-09-22T15:00:40+08:00
posebusters	7CL8_TES	genconf	ok		C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O	21	0	20260922	1	0.294	2058	0.23	2026-09-22T15:00:40+08:00
posebusters	7CD9_FVR	genconf	ok		CN1C[C@H](Nc2nc3cc[nH]c3c(=O)n2C)C[C@H](c2ccc(OCc3ccccc3)cc2)C1	33	6	20260922	1	0.657	3327	0.25	2026-09-22T15:00:40+08:00
posebusters	7DQL_4CL	refconf	ok		Oc1ccc(Cl)cc1O	9	0				1078	0.0	2026-09-22T15:00:40+08:00
posebusters	7DKT_GLF	genconf	ok		OC[C@H]1O[C@H](F)[C@H](O)[C@@H](O)[C@@H]1O	12	1	20260922	1	0.541	1635	0.02	2026-09-22T15:00:40+08:00
posebusters	7DQL_4CL	genconf	ok		Oc1ccc(Cl)cc1O	9	0	20260922	1	0.019	1078	0.01	2026-09-22T15:00:40+08:00
posebusters	7DUA_HJ0	refconf	ok		Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1	23	3				2588	0.01	2026-09-22T15:00:40+08:00
posebusters	7E4L_MDN	refconf	ok		O=P(O)(O)CP(=O)(O)O	9	2				1385	0.01	2026-09-22T15:00:40+08:00
posebusters	7E4L_MDN	genconf	ok		O=P(O)(O)CP(=O)(O)O	9	2	20260922	1	0.265	1385	0.01	2026-09-22T15:00:40+08:00
posebusters	7EBG_J0L	refconf	ok		CNc1cccc2c1NC(=O)C2(C)C	14	1				1502	0.01	2026-09-22T15:00:40+08:00
posebusters	7ECR_SIN	refconf	ok		O=C(O)CCC(=O)O	8	3				1092	0.0	2026-09-22T15:00:40+08:00
posebusters	7ECR_SIN	genconf	ok		O=C(O)CCC(=O)O	8	3	20260922	1	0.957	1092	0.01	2026-09-22T15:00:40+08:00
posebusters	7ED2_A3P	refconf	ok		Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O	27	6				3474	0.01	2026-09-22T15:00:40+08:00
posebusters	7EBG_J0L	genconf	ok		CNc1cccc2c1NC(=O)C2(C)C	14	1	20260922	1	0.083	1502	0.03	2026-09-22T15:00:40+08:00
posebusters	7C0U_FGO	genconf	ok		Nc1nc2c(ncn2[C@@H]2O[C@H](CO[P@](=O)(O)O[C@H]3[C@@H](O)[C@H](n4ccc(=O)[nH]c4=O)O[C@@H]3CO)[C@H]3CC(O)(O)C[C@H]32)c(=O)[nH]1	43	8	20260922	1	2.837	5149	0.34	2026-09-22T15:00:40+08:00
posebusters	7ELT_TYM	refconf	ok		Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)OC(=O)[C@@H](N)Cc2c[nH]c3ccccc23)[C@@H](O)[C@H]1O	37	8				4530	0.01	2026-09-22T15:00:40+08:00
posebusters	7BTT_F8R	genconf	ok		COc1cc2c(cc1Nc1nc(Nc3ccccc3S(=O)(=O)C(C)C)c3[nH]ccc3n1)N(C(=O)CN(C)C)CC2	40	9	20260922	1	4.077	4208	0.37	2026-09-22T15:00:40+08:00
posebusters	7EPV_FDA	refconf	ok		Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)c1[nH]c(=O)[nH]c(=O)c1N2	53	13				6585	0.01	2026-09-22T15:00:40+08:00
posebusters	7ES1_UDP	refconf	ok		O=c1ccn([C@@H]2O[C@H](CO[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	25	6				3193	0.01	2026-09-22T15:00:40+08:00
posebusters	7DUA_HJ0	genconf	ok		Cc1cc(NC(=O)c2cn(C3(C)CC3)c3ncnc(N)c23)n[nH]1	23	3	20260922	1	1.584	2588	0.09	2026-09-22T15:00:40+08:00
